"No.","Time","Source","Destination","Protocol","Length","Info"
"122090","131.688681","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=12965627 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 122130]"
"122226","131.716825","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13040027 Ack=7528 Win=263424 Len=1240"
"122227","131.716829","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13041267 Ack=7528 Win=263424 Len=1240"
"122381","131.744644","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13142947 Ack=7528 Win=263424 Len=1240"
"122383","131.744652","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13147907 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 122404]"
"122384","131.744656","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13149147 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 122404]"
"122385","131.744660","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13150387 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 122404]"
"122402","131.748130","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13156587 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 122404]"
"122537","131.778233","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13238427 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 122568]"
"122538","131.778237","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13239667 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 122568]"
"122607","131.791065","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13288027 Ack=7528 Win=263424 Len=1240"
"122608","131.791067","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13289267 Ack=7528 Win=263424 Len=1240"
"122609","131.791070","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13290507 Ack=7528 Win=263424 Len=1240"
"122610","131.791072","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13291747 Ack=7528 Win=263424 Len=1240"
"122631","131.794626","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13304147 Ack=7528 Win=263424 Len=1240"
"122646","131.798254","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13309107 Ack=7528 Win=263424 Len=1240"
"122814","131.833722","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13389707 Ack=7528 Win=263424 Len=1240"
"122908","131.854157","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13445507 Ack=7528 Win=263424 Len=1240"
"122909","131.854161","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13446747 Ack=7528 Win=263424 Len=1240"
"123027","131.882975","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13503787 Ack=7528 Win=263424 Len=1240"
"123028","131.882977","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13505027 Ack=7528 Win=263424 Len=1240"
"123029","131.882980","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13507507 Ack=7528 Win=263424 Len=1240"
"123094","131.895279","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13549667 Ack=7528 Win=263424 Len=1240"
"123096","131.895284","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13553387 Ack=7528 Win=263424 Len=1240"
"123097","131.895286","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13554627 Ack=7528 Win=263424 Len=1240"
"123135","131.902568","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13576947 Ack=7528 Win=263424 Len=1240"
"123136","131.902570","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13578187 Ack=7528 Win=263424 Len=1240"
"123240","131.926372","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13633987 Ack=7528 Win=263424 Len=1240"
"123377","131.954883","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13718307 Ack=7528 Win=263424 Len=1240"
"123378","131.954886","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13719547 Ack=7528 Win=263424 Len=1240"
"123456","131.972113","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13787747 Ack=7528 Win=263424 Len=1240 [TCP PDU reassembled in 123459]"
"123559","131.992225","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=13848507 Ack=7528 Win=263424 Len=1240"
"123560","131.992230","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=13853467 Ack=7528 Win=263424 Len=1240"
"130151","138.120032","192.168.2.103","142.250.191.138","TCP","838","[TCP Retransmission] 2193  >  443 [PSH, ACK] Seq=64093 Ack=1520453 Win=262144 Len=692 [TCP PDU reassembled in 130147]"
"130156","138.120864","192.168.2.103","142.250.191.138","TCP","838","[TCP Retransmission] 2193  >  443 [PSH, ACK] Seq=64093 Ack=1520453 Win=262144 Len=692 [TCP PDU reassembled in 130147]"
"130576","140.983841","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14057636 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 130564]"
"130578","140.983850","142.250.191.138","192.168.2.103","TCP","1291","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14063836 Ack=8102 Win=262912 Len=1137"
"130579","140.983854","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14064973 Ack=8102 Win=262912 Len=1240"
"130682","141.003256","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14126973 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 130677]"
"130684","141.003264","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14129453 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 130677]"
"130686","141.003271","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14131933 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 130677]"
"130687","141.003274","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14133173 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 130677]"
"130711","141.008796","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14145573 Ack=8102 Win=262912 Len=1240"
"130772","141.020594","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14180293 Ack=8102 Win=262912 Len=1240"
"130773","141.020598","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14181533 Ack=8102 Win=262912 Len=1240"
"131135","141.085344","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14413413 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 131145]"
"131136","141.085348","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14414653 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 131145]"
"131137","141.085352","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14415893 Ack=8102 Win=262912 Len=1240"
"131138","141.085356","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14417133 Ack=8102 Win=262912 Len=1240"
"131139","141.085360","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14418373 Ack=8102 Win=262912 Len=1240"
"131287","141.117138","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14510133 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 131321]"
"131387","141.137368","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14562213 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 131409]"
"131389","141.137376","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14564693 Ack=8102 Win=262912 Len=1240 [TCP PDU reassembled in 131409]"
"131654","141.189621","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14717213 Ack=8102 Win=262912 Len=1240"
"131703","141.198365","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14745621 Ack=8102 Win=262912 Len=1240"
"131732","141.205718","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14755541 Ack=8102 Win=262912 Len=1240"
"131733","141.205723","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14756781 Ack=8102 Win=262912 Len=1240"
"131734","141.205728","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14758021 Ack=8102 Win=262912 Len=1240"
"131735","141.205732","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=14759261 Ack=8102 Win=262912 Len=1240"
"131736","141.205736","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14760501 Ack=8102 Win=262912 Len=1240"
"131737","141.205740","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=14761741 Ack=8102 Win=262912 Len=1240"
"132249","141.298099","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=15102741 Ack=8102 Win=262912 Len=1240"
"132250","141.298104","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=15103981 Ack=8102 Win=262912 Len=1240"
"132492","141.351924","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=15281301 Ack=8102 Win=262912 Len=1240"
"132542","141.356916","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [ACK] Seq=15312301 Ack=8102 Win=262912 Len=1240"
"132543","141.356923","142.250.191.138","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2201 [PSH, ACK] Seq=15313541 Ack=8102 Win=262912 Len=1240"
