"No.","Time","Source","Destination","Protocol","Length","Info"
"22773","117.461741","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=6809831 Ack=9098 Win=262144 Len=1240"
"22865","117.481428","192.168.2.103","172.217.4.202","TCP","1386","[TCP Retransmission] 1373  >  443 [PSH, ACK] Seq=60832 Ack=4710266 Win=133888 Len=1240"
"23330","117.589341","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [PSH, ACK] Seq=7144631 Ack=9098 Win=262144 Len=1240 [TCP PDU reassembled in 23378]"
"24047","117.737712","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=7599711 Ack=9098 Win=262144 Len=1240"
"24066","117.741457","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=7610871 Ack=9098 Win=262144 Len=1240"
"24067","117.741462","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=7612111 Ack=9098 Win=262144 Len=1240"
"24247","119.714336","192.168.2.103","172.217.4.202","TCP","1394","[TCP Retransmission] 1373  >  443 [ACK] Seq=62072 Ack=4710899 Win=133120 Len=1240"
"26053","126.149825","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [PSH, ACK] Seq=8752378 Ack=9672 Win=261632 Len=1240"
"26054","126.149829","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=8753618 Ack=9672 Win=261632 Len=1240"
"26180","126.177543","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=8839178 Ack=9672 Win=261632 Len=1240 [TCP PDU reassembled in 26213]"
"26484","126.234776","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=9038818 Ack=9672 Win=261632 Len=1240"
"26548","126.249963","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=9071058 Ack=9672 Win=261632 Len=1240"
"26551","126.249975","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=9076018 Ack=9672 Win=261632 Len=1240"
"26954","134.285379","192.168.2.103","34.107.172.168","TCP","146","[TCP Retransmission] 1282  >  443 [FIN, ACK] Seq=1202 Ack=185 Win=251 Len=0"
"26980","134.889359","192.168.2.103","34.107.172.168","TCP","146","[TCP Retransmission] 1282  >  443 [FIN, ACK] Seq=1202 Ack=185 Win=251 Len=0"
"27024","136.090236","192.168.2.103","34.107.172.168","TCP","146","[TCP Retransmission] 1282  >  443 [FIN, ACK] Seq=1202 Ack=185 Win=251 Len=0"
"27245","136.236114","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=9317027 Ack=10246 Win=261120 Len=1240 [TCP PDU reassembled in 27330]"
"28177","136.443416","192.168.2.103","172.217.4.202","TCP","1394","[TCP Retransmission] 1373  >  443 [PSH, ACK] Seq=74362 Ack=4714681 Win=133120 Len=1240 [TCP PDU reassembled in 28048]"
"28699","136.561525","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=10198667 Ack=10246 Win=261120 Len=1240 [TCP PDU reassembled in 28724]"
"29128","136.653738","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [PSH, ACK] Seq=10478907 Ack=10246 Win=261120 Len=1240 [TCP PDU reassembled in 29182]"
"29577","138.493879","192.168.2.103","34.107.172.168","TCP","146","[TCP Retransmission] 1282  >  443 [FIN, ACK] Seq=1202 Ack=185 Win=251 Len=0"
"29703","143.299453","192.168.2.103","34.107.172.168","TCP","146","[TCP Retransmission] 1282  >  443 [FIN, ACK] Seq=1202 Ack=185 Win=251 Len=0"
"30466","146.154006","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [PSH, ACK] Seq=11231199 Ack=10820 Win=260608 Len=1240"
"30758","146.212910","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [PSH, ACK] Seq=11413479 Ack=10820 Win=260608 Len=1240"
"30796","146.219982","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [PSH, ACK] Seq=11439519 Ack=10820 Win=260608 Len=1240"
"30815","146.223579","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=11448199 Ack=10820 Win=260608 Len=1240"
"31068","146.286181","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=11618079 Ack=10820 Win=260608 Len=1240"
"31093","146.292013","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=11623039 Ack=10820 Win=260608 Len=1240"
"31393","146.359767","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=11822679 Ack=10820 Win=260608 Len=1240 [TCP PDU reassembled in 31440]"
"31586","146.407774","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=11942959 Ack=10820 Win=260608 Len=1240 [TCP PDU reassembled in 31591]"
"31699","146.429527","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=12023559 Ack=10820 Win=260608 Len=1240"
"31700","146.429531","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=12024799 Ack=10820 Win=260608 Len=1240"
"31921","146.478769","192.168.2.103","172.217.4.202","TCP","1386","[TCP Retransmission] 1373  >  443 [PSH, ACK] Seq=82094 Ack=4717206 Win=133120 Len=1240 [TCP PDU reassembled in 31848]"
"32056","146.505625","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=12243039 Ack=10820 Win=260608 Len=1240"
"32284","150.804583","192.168.2.103","172.217.4.202","TCP","1394","[TCP Retransmission] 1373  >  443 [ACK] Seq=85267 Ack=4718472 Win=133120 Len=1240"
"32285","150.804615","192.168.2.103","172.217.4.202","TCP","847","[TCP Retransmission] 1373  >  443 [PSH, ACK] Seq=86507 Ack=4718472 Win=133120 Len=693 [TCP PDU reassembled in 32278]"
