"No.","Time","Source","Destination","Protocol","Length","Info"
"915","15.298095","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 1222  >  443 [ACK] Seq=24932 Ack=12887 Win=256 Len=1240 [TCP PDU reassembled in 908]"
"916","15.298098","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 1222  >  443 [ACK] Seq=26172 Ack=12887 Win=256 Len=1240 [TCP PDU reassembled in 908]"
"917","15.298101","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 1222  >  443 [ACK] Seq=27412 Ack=12887 Win=256 Len=1240 [TCP PDU reassembled in 908]"
"918","15.298104","192.168.2.103","157.240.26.49","TCP","1193","[TCP Retransmission] 1222  >  443 [PSH, ACK] Seq=28652 Ack=12887 Win=256 Len=1039 [TCP PDU reassembled in 908]"
"1032","16.048577","192.168.2.103","157.240.26.49","TCP","1386","[TCP Retransmission] 1222  >  443 [ACK] Seq=45535 Ack=21769 Win=256 Len=1240 [TCP PDU reassembled in 1028]"
"1138","16.417045","157.240.26.49","192.168.2.103","TCP","189","[TCP Retransmission] 443  >  1225 [PSH, ACK] Seq=4657 Ack=2902 Win=71168 Len=35"
"1139","16.417055","157.240.26.49","192.168.2.103","TCP","189","[TCP Retransmission] 443  >  1225 [PSH, ACK] Seq=4692 Ack=2902 Win=71168 Len=35"
"1168","16.646776","192.168.2.103","157.240.26.49","TCP","556","[TCP Retransmission] 1225  >  443 [PSH, ACK] Seq=3238 Ack=4980 Win=65536 Len=402"
"1169","16.646787","192.168.2.103","157.240.26.49","TCP","490","[TCP Retransmission] 1225  >  443 [PSH, ACK] Seq=3640 Ack=4980 Win=65536 Len=336"
"1248","18.006504","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [PSH, ACK] Seq=18759 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1251]"
"1304","18.016941","157.240.26.49","192.168.2.103","TCP","1394","[TCP Fast Retransmission] 443  >  1225 [ACK] Seq=42319 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1291]"
"1305","18.016944","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [PSH, ACK] Seq=43559 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1291]"
"1307","18.016951","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [PSH, ACK] Seq=46039 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1324]"
"1313","18.017566","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  1225 [ACK] Seq=44799 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1324]"
"1338","18.025836","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [ACK] Seq=54719 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1329]"
"1354","18.028965","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  1225 [PSH, ACK] Seq=58439 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1341]"
"1356","18.031425","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [ACK] Seq=59679 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1342]"
"1357","18.031431","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [ACK] Seq=60919 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1372]"
"1367","18.034728","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [ACK] Seq=62159 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1372]"
"1368","18.034732","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1225 [ACK] Seq=63399 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1372]"
