"No.","Time","Source","Destination","Protocol","Length","Info"
"22923","112.557226","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=11355460 Ack=5021 Win=265472 Len=1240"
"23233","112.620394","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=11555100 Ack=5021 Win=265472 Len=1240"
"23341","112.650874","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [PSH, ACK] Seq=11618340 Ack=5021 Win=265472 Len=1240"
"23557","112.695036","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=11762180 Ack=5021 Win=265472 Len=1240"
"23607","112.708284","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=11785740 Ack=5021 Win=265472 Len=1240"
"23611","112.708300","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=11791940 Ack=5021 Win=265472 Len=1240"
"24100","112.806824","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=12151540 Ack=5021 Win=265472 Len=1240 [TCP PDU reassembled in 24139]"
"24424","112.868464","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=12367300 Ack=5021 Win=265472 Len=1240"
"24540","116.115576","142.250.191.170","192.168.2.103","TCP","158","[TCP Previous segment not captured] 443  >  1246 [ACK] Seq=23612 Ack=58417 Win=221184 Len=0 SLE=59657 SRE=60350"
"24729","121.180735","142.250.191.170","192.168.2.103","TCP","158","[TCP Previous segment not captured] 443  >  1246 [ACK] Seq=24245 Ack=60350 Win=219392 Len=0 SLE=61590 SRE=62283"
"24846","121.997177","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [PSH, ACK] Seq=12399310 Ack=5595 Win=264960 Len=1240 [TCP PDU reassembled in 24908]"
"25311","122.057017","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=12628710 Ack=5595 Win=264960 Len=1240 [TCP PDU reassembled in 25320]"
"25616","122.185913","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [PSH, ACK] Seq=12755190 Ack=5595 Win=264960 Len=1240"
"25873","122.222619","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=12850670 Ack=5595 Win=264960 Len=1240 [TCP PDU reassembled in 25890]"
"25964","122.237873","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [PSH, ACK] Seq=12911430 Ack=5595 Win=264960 Len=1240 [TCP PDU reassembled in 26019]"
