"No.","Time","Source","Destination","Protocol","Length","Info"
"2571","11.482992","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2038 [ACK] Seq=153073 Ack=3976 Win=77056 Len=1240"
"2595","11.488523","157.240.26.49","192.168.2.103","TCP","1226","[TCP Retransmission] 443  >  2038 [PSH, ACK] Seq=165473 Ack=3976 Win=77056 Len=1072"
"2596","11.488529","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2038 [ACK] Seq=166545 Ack=3976 Win=77056 Len=1240"
"2598","11.488537","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2038 [ACK] Seq=168089 Ack=3976 Win=77056 Len=1240"
"2599","11.488540","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2038 [ACK] Seq=169329 Ack=3976 Win=77056 Len=1240"
"2600","11.488542","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2038 [PSH, ACK] Seq=170569 Ack=3976 Win=77056 Len=1240"
"2601","11.488545","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2038 [ACK] Seq=171809 Ack=3976 Win=77056 Len=1240"
"2613","11.490719","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  2038 [ACK] Seq=174289 Ack=3976 Win=77056 Len=1240"
"2651","11.498452","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2038 [ACK] Seq=185449 Ack=3976 Win=77056 Len=1240"
"3035","15.763940","192.168.2.103","34.36.199.114","TCP","828","[TCP Retransmission] 2041  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66304 Len=674"
"3036","15.763943","192.168.2.103","34.36.199.114","TCP","828","[TCP Retransmission] 2042  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66304 Len=674"
"3091","15.785352","34.36.199.114","192.168.2.103","TCP","373","[TCP Retransmission] 443  >  2049 [PSH, ACK] Seq=1 Ack=675 Win=269056 Len=219"
"3092","15.785355","34.36.199.114","192.168.2.103","TCP","373","[TCP Retransmission] 443  >  2042 [PSH, ACK] Seq=1 Ack=675 Win=269056 Len=219"
